Experimento,Celulas,Plasmido,Luciferasa,Renilla,Raro
M10_13_11_15,MCF10A,CP-R,0.912,689.1,NO
M10_13_11_15,MCF10A,LARGE-F,0.025,143.6,NO
M10_13_11_15,MCF10A,LARGE-F,0.17,560,NO
M10_13_11_15,MCF10A,LARGE-F,0.075,439.4,NO
M10_13_11_15,MCF10A,LARGE-R,0.09,128.9,NO
M10_13_11_15,MCF10A,LARGE-R,0.376,519.6,NO
M10_13_11_15,MCF10A,LARGE-R,0.131,490.4,NO
K5_15_01_16,K562,POS_CNTRL,191.1,2869,NO
K5_15_01_16,K562,POS_CNTRL,159.8,3195,NO
K5_15_01_16,K562,POS_CNTRL,190,4400,NO
K5_15_01_16,K562,VV,1.555,1639,NO
K5_15_01_16,K562,VV,0.99,799.9,NO
K5_15_01_16,K562,VV,1.702,2389,NO
K5_15_01_16,K562,SMALL-F,786.6,3000,NO
K5_15_01_16,K562,SMALL-F,334.6,1739,NO
K5_15_01_16,K562,SMALL-F,257.3,1096,NO
K5_15_01_16,K562,SMALL-R,367.5,2321,NO
K5_15_01_16,K562,SMALL-R,345,1780,NO
K5_15_01_16,K562,SMALL-R,314,2985,NO
K5_15_01_16,K562,MR-F,297.8,1853,NO
K5_15_01_16,K562,MR-F,161.5,1333,NO
K5_15_01_16,K562,MR-F,138.3,1396,NO
K5_15_01_16,K562,MR-R,2.78,1175,NO
K5_15_01_16,K562,MR-R,1.181,1060,NO
K5_15_01_16,K562,MR-R,1.632,1878,NO
K5_15_01_16,K562,CP-F,2.921,1954,NO
K5_15_01_16,K562,CP-F,4.281,1540,NO
K5_15_01_16,K562,CP-F,3.361,1226,NO
K5_15_01_16,K562,CP-R,120.8,1370,NO
K5_15_01_16,K562,CP-R,89.69,2392,NO
K5_15_01_16,K562,CP-R,86.85,1407,NO
K5_15_01_16,K562,LARGE-F,2.034,2143,NO
K5_15_01_16,K562,LARGE-F,1.857,1704,NO
K5_15_01_16,K562,LARGE-F,0.914,1570,NO
K5_15_01_16,K562,LARGE-R,0.881,1605,NO
K5_15_01_16,K562,LARGE-R,0.731,1236,NO
K5_15_01_16,K562,LARGE-R,0.381,1412,NO
M7_11_05_16,MCF7,POS_CNTRL,35.32,381.5,NO
M7_11_05_16,MCF7,POS_CNTRL,48.65,504.8,NO
M7_11_05_16,MCF7,POS_CNTRL,73.12,1046,NO
M7_11_05_16,MCF7,VV,2.32,1021,NO
M7_11_05_16,MCF7,VV,3.711,936.5,NO
M7_11_05_16,MCF7,VV,1.737,527.7,NO
M7_11_05_16,MCF7,SMALL-F,137.7,994.2,NO
M7_11_05_16,MCF7,SMALL-F,130.7,1102,NO
M7_11_05_16,MCF7,SMALL-F,36.98,376.7,NO
M7_11_05_16,MCF7,SMALL-R,114.5,682.3,NO
M7_11_05_16,MCF7,SMALL-R,155.5,1723,NO
M7_11_05_16,MCF7,SMALL-R,69.07,455.7,NO
M7_11_05_16,MCF7,MR-F,182.6,3169,NO
M7_11_05_16,MCF7,MR-F,83.18,1054,NO
M7_11_05_16,MCF7,MR-F,60.66,792.1,NO
M7_11_05_16,MCF7,MR-R,2.219,1652,NO
M7_11_05_16,MCF7,MR-R,2.635,1629,NO
M7_11_05_16,MCF7,MR-R,1.017,849.1,NO
M7_11_05_16,MCF7,CP-F,5.068,1177,NO
M7_11_05_16,MCF7,CP-F,2.022,520.9,NO
M7_11_05_16,MCF7,CP-F,0.897,437.9,NO
M7_11_05_16,MCF7,CP-R,86.04,1553,NO
M7_11_05_16,MCF7,CP-R,47.43,413.3,NO
M7_11_05_16,MCF7,CP-R,32.06,440.9,NO
M7_11_05_16,MCF7,LARGE-F,2.915,1041,NO
M7_11_05_16,MCF7,LARGE-F,1.07,322.1,NO
M7_11_05_16,MCF7,LARGE-F,0.517,264.1,NO
M7_11_05_16,MCF7,LARGE-R,0.366,335.8,NO
M7_11_05_16,MCF7,LARGE-R,0.414,213.9,NO
M7_11_05_16,MCF7,LARGE-R,0.324,136,NO
K5_16_05_16,K562,POS_CNTRL,60.33,2414,NO
K5_16_05_16,K562,POS_CNTRL,79.98,2829,NO
K5_16_05_16,K562,POS_CNTRL,101.3,4174,NO
K5_16_05_16,K562,VV,1.317,3598,NO
K5_16_05_16,K562,VV,0.989,3441,NO
K5_16_05_16,K562,VV,3.132,1946,NO
K5_16_05_16,K562,SMALL-F,130.2,4486,NO
K5_16_05_16,K562,SMALL-F,147.8,5857,NO
K5_16_05_16,K562,SMALL-F,270.9,7524,NO
K5_16_05_16,K562,SMALL-R,167.6,4576,NO
K5_16_05_16,K562,SMALL-R,212.2,5458,NO
K5_16_05_16,K562,SMALL-R,309.9,6576,NO
K5_16_05_16,K562,MR-F,89.57,2715,NO
K5_16_05_16,K562,MR-F,96.45,4617,NO
K5_16_05_16,K562,MR-F,195.2,7467,NO
K5_16_05_16,K562,MR-R,1.77,5974,NO
K5_16_05_16,K562,MR-R,2.865,7169,NO
K5_16_05_16,K562,MR-R,3.615,8047,NO
K5_16_05_16,K562,CP-F,5.623,4928,NO
K5_16_05_16,K562,CP-F,4.851,5088,NO
K5_16_05_16,K562,CP-F,9.832,7029,NO
K5_16_05_16,K562,CP-R,128.7,5940,NO
K5_16_05_16,K562,CP-R,118.7,5883,NO
K5_16_05_16,K562,CP-R,127.6,6664,NO
K5_16_05_16,K562,LARGE-F,5.406,5907,NO
K5_16_05_16,K562,LARGE-F,6.52,5424,NO
K5_16_05_16,K562,LARGE-F,6.703,7327,NO
K5_16_05_16,K562,LARGE-R,1.451,4963,NO
K5_16_05_16,K562,LARGE-R,1.06,4770,NO
K5_16_05_16,K562,LARGE-R,1.153,5017,NO
M7_17_05_16,MCF7,POS_CNTRL,548,2692,NO
M7_17_05_16,MCF7,POS_CNTRL,654.5,3918,NO
M7_17_05_16,MCF7,POS_CNTRL,866,4111,NO
M7_17_05_16,MCF7,VV,17.02,2734,NO
M7_17_05_16,MCF7,VV,28.74,4128,NO
M7_17_05_16,MCF7,VV,33.55,5160,NO
M7_17_05_16,MCF7,SMALL-F,467,4657,NO
M7_17_05_16,MCF7,SMALL-F,665,6545,NO
M7_17_05_16,MCF7,SMALL-F,875,6599,NO
M7_17_05_16,MCF7,SMALL-R,458,4654,NO
M7_17_05_16,MCF7,SMALL-R,761,6198,NO
M7_17_05_16,MCF7,SMALL-R,1007,8068,NO
M7_17_05_16,MCF7,MR-F,364,4760,NO
M7_17_05_16,MCF7,MR-F,716.1,8655,NO
M7_17_05_16,MCF7,MR-F,783.1,8527,NO
M7_17_05_16,MCF7,MR-R,8.25,7857,NO
M7_17_05_16,MCF7,MR-R,16.54,9482,NO
M7_17_05_16,MCF7,MR-R,20.82,9999,NO
M7_17_05_16,MCF7,CP-F,11.94,2084,NO
M7_17_05_16,MCF7,CP-F,14.09,4594,NO
M7_17_05_16,MCF7,CP-F,24.14,4272,NO
M7_17_05_16,MCF7,CP-R,122.8,2498,NO
M7_17_05_16,MCF7,CP-R,174.8,3065,NO
M7_17_05_16,MCF7,CP-R,243.7,3701,NO
M7_17_05_16,MCF7,LARGE-F,18.09,5807,NO
M7_17_05_16,MCF7,LARGE-F,23.28,7338,NO
M7_17_05_16,MCF7,LARGE-F,22.2,7442,NO
M7_17_05_16,MCF7,LARGE-R,0.62,420.9,NO
M7_17_05_16,MCF7,LARGE-R,0.846,655.7,NO
K5_28_11_16,K562,POS_CNTRL,30.94,502.9,NO
K5_28_11_16,K562,POS_CNTRL,15,298,NO
K5_28_11_16,K562,POS_CNTRL,14.03,267.8,NO
K5_28_11_16,K562,VV,0.48,308.3,NO
K5_28_11_16,K562,VV,0.84,390.8,NO
K5_28_11_16,K562,SMALL-F,564.7,3325,NO
K5_28_11_16,K562,SMALL-F,258,2567,NO
K5_28_11_16,K562,SMALL-F,390.8,2182,NO
K5_28_11_16,K562,SMALL-R,446.9,3063,NO
K5_28_11_16,K562,SMALL-R,613.8,3412,NO
K5_28_11_16,K562,SMALL-R,570.1,3837,NO
K5_28_11_16,K562,INI-F,2.685,562.7,NO
K5_28_11_16,K562,INI-F,3.489,464.3,NO
K5_28_11_16,K562,INI-F,1.023,505.4,NO
K5_28_11_16,K562,INI-R,2.022,371.2,NO
K5_28_11_16,K562,INI-R,2.821,331,NO
K5_28_11_16,K562,INI-R,3.407,491.1,NO
K5_28_11_16,K562,FIN-F,36.78,338.7,NO
K5_28_11_16,K562,FIN-F,34.03,452.2,NO
K5_28_11_16,K562,FIN-F,44.78,520.8,NO
K5_28_11_16,K562,FIN-X-R,24.13,532.6,NO
K5_28_11_16,K562,FIN-X-R,12.26,377.8,NO
K5_28_11_16,K562,FIN-X-R,18.86,378.2,NO
K5_28_11_16,K562,MYC-MT-F,11.26,734.6,NO
K5_28_11_16,K562,MYC-MT-F,35.95,998.3,NO
K5_28_11_16,K562,MYC-MT-F,29.27,769.3,NO
K5_28_11_16,K562,MYC-MT-R,33.36,563.2,NO
K5_28_11_16,K562,MYC-MT-R,40.14,470.6,NO
K5_28_11_16,K562,MYC-MT-R,38.78,525.1,NO
M7_06_06_17,MCF7,POS_CNTRL,104.7,1314,NO
M7_06_06_17,MCF7,POS_CNTRL,40.04,469.4,NO
M7_06_06_17,MCF7,POS_CNTRL,21.58,279.7,NO
M7_06_06_17,MCF7,VV,6.387,3192,NO
M7_06_06_17,MCF7,VV,0.287,397.5,NO
M7_06_06_17,MCF7,VV,0.215,31.44,NO
M7_06_06_17,MCF7,SMALL-F,148.3,3539,NO
M7_06_06_17,MCF7,SMALL-F,239,5738,NO
M7_06_06_17,MCF7,SMALL-F,56.9,1004,NO
M7_06_06_17,MCF7,SMALL-R,249.8,4584,NO
M7_06_06_17,MCF7,SMALL-R,341.6,5934,NO
M7_06_06_17,MCF7,SMALL-R,274,4994,NO
M7_06_06_17,MCF7,INI-F,26.81,6685,NO
M7_06_06_17,MCF7,INI-F,18.12,6483,NO
M7_06_06_17,MCF7,INI-F,21.36,6530,NO
M7_06_06_17,MCF7,INI-R,28.8,5932,NO
M7_06_06_17,MCF7,INI-R,24.21,5881,NO
M7_06_06_17,MCF7,INI-R,30.94,8365,NO
M7_06_06_17,MCF7,MED-F,120.4,9903,NO
M7_06_06_17,MCF7,MED-F,79.36,7230,NO
M7_06_06_17,MCF7,MED-F,114,6571,NO
M7_06_06_17,MCF7,MED-R,76.94,5246,NO
M7_06_06_17,MCF7,MED-R,85.54,5661,NO
M7_06_06_17,MCF7,MED-R,77.44,5983,NO
M7_06_06_17,MCF7,FIN-F,127.1,5457,NO
M7_06_06_17,MCF7,FIN-F,128,5320,NO
M7_06_06_17,MCF7,FIN-F,120.9,4255,NO
M7_06_06_17,MCF7,FIN-X-R,87.34,6025,NO
M7_06_06_17,MCF7,FIN-X-R,104.1,5764,NO
M7_06_06_17,MCF7,FIN-X-R,87.89,7124,NO
M7_06_06_17,MCF7,MYC-MT-F,25.97,1643,NO
M7_06_06_17,MCF7,MYC-MT-F,30.22,2681,NO
M7_06_06_17,MCF7,MYC-MT-R,84.18,2110,NO
M7_06_06_17,MCF7,MYC-MT-R,59.5,1589,NO
M10_06_09_17,MCF10A,POS_CNTRL,4.462,1674,NO
M10_06_09_17,MCF10A,POS_CNTRL,4.32,2570,NO
M10_06_09_17,MCF10A,POS_CNTRL,4.309,3344,NO
M10_06_09_17,MCF10A,VV,0.553,3747,NO
M10_06_09_17,MCF10A,VV,0.277,3858,NO
M10_06_09_17,MCF10A,VV,0.46,3879,NO
M10_06_09_17,MCF10A,SMALL-F,4.331,3435,NO
M10_06_09_17,MCF10A,SMALL-F,2.949,2434,NO
M10_06_09_17,MCF10A,SMALL-F,3.412,2842,NO
M10_06_09_17,MCF10A,SMALL-R,2.808,3457,NO
M10_06_09_17,MCF10A,SMALL-R,7.214,4143,NO
M10_06_09_17,MCF10A,SMALL-R,4.377,4099,NO
M10_06_09_17,MCF10A,INI-F,0.015,1071,NO
M10_06_09_17,MCF10A,INI-F,0.364,3063,NO
M10_06_09_17,MCF10A,INI-F,0.79,4433,NO
M10_06_09_17,MCF10A,INI-R,0.593,3223,NO
M10_06_09_17,MCF10A,INI-R,0.538,3879,NO
M10_06_09_17,MCF10A,INI-R,0.432,2678,NO
M10_06_09_17,MCF10A,MED-F,0.96,3485,NO
M10_06_09_17,MCF10A,MED-F,0.627,2929,NO
M10_06_09_17,MCF10A,MED-F,0.499,4477,NO
M10_06_09_17,MCF10A,MED-R,2.7446,3500,NO
M10_06_09_17,MCF10A,MED-R,2.041,3715,NO
M10_06_09_17,MCF10A,MED-R,2.522,4947,NO
M10_06_09_17,MCF10A,FIN-F,1.495,3233,NO
M10_06_09_17,MCF10A,FIN-F,3.066,5208,NO
M10_06_09_17,MCF10A,FIN-F,1.523,2589,NO
M10_06_09_17,MCF10A,FIN-X-R,0.722,3434,NO
M10_06_09_17,MCF10A,FIN-X-R,0.635,3885,NO
M10_06_09_17,MCF10A,FIN-X-R,1.108,3769,NO
M10_06_09_17,MCF10A,MYC-MT-F,0.526,2198,NO
M10_06_09_17,MCF10A,MYC-MT-F,1.342,3555,NO
M10_06_09_17,MCF10A,MYC-MT-F,1.955,2940,NO
M10_06_09_17,MCF10A,MYC-MT-R,1.719,3937,NO
M10_06_09_17,MCF10A,MYC-MT-R,1.704,3809,NO
M10_06_09_17,MCF10A,MYC-MT-R,3.87,3755,NO
K5_30_11_17,K562,POS_CNTRL,333.8,560.1,SI
K5_30_11_17,K562,POS_CNTRL,435.3,680.1,SI
K5_30_11_17,K562,POS_CNTRL,514.3,688.3,SI
K5_30_11_17,K562,ENH_CNTRL,927.1,621.6,SI
K5_30_11_17,K562,ENH_CNTRL,933.4,625,SI
K5_30_11_17,K562,ENH_CNTRL,1104,911,SI
K5_30_11_17_b,K562,MED-F,301,824.3,SI
K5_30_11_17_b,K562,MED-F,251.2,620,SI
K5_30_11_17_b,K562,MED-F,411.4,1002,SI
K5_30_11_17_b,K562,MED-R,661.2,646.8,SI
K5_30_11_17_b,K562,MED-R,638.2,728,SI
K5_30_11_17_b,K562,MED-R,953.9,1175,SI
K5_30_11_17,K562,ENH_SMALL,331.6,545.9,SI
K5_30_11_17,K562,ENH_SMALL,350.5,547,SI
K5_30_11_17,K562,ENH_SMALL,487.5,873.9,SI
K5_30_11_17,K562,ENH_LARGE,95.19,744.1,SI
K5_30_11_17,K562,ENH_LARGE,98.07,724.7,SI
K5_30_11_17,K562,ENH_LARGE,91.16,918.5,SI
